id,error_type,heavy_minus_fast,quality_score,reasons,has_table,has_figure,needs_ocr,critical_issue,document_type,difficulty,label_table,label_figure,label_equation
data_116,false_positive,-0.008622,65.0,"has_table_dusuk,low_quality",True,True,False,TWO_COLUMN_CROSS_JUMP,pptx,intermediate,0,0,3
data_141,false_negative,0.061925,100.0,,False,True,False,NONE,non-academic,easy,0,0,0
data_58,false_negative,0.179455,100.0,,False,True,False,NONE,pptx,hard,0,3,0
data_113,false_positive,-0.0125,100.0,has_table_dusuk,True,True,False,NONE,pptx,easy,0,0,0
data_162,false_positive,-0.221277,100.0,has_table_dusuk,True,True,False,NONE,pptx,hard,0,2,1
data_169,false_positive,-0.012944,73.3,low_quality,False,True,False,NONE,thesis,easy,0,0,0
data_164,false_positive,0.008794,88.6,has_table_dusuk,True,True,False,NONE,pptx,hard,0,1,1
data_170,false_positive,0.000789,43.5,low_quality,False,True,False,TWO_COLUMN_CROSS_JUMP,thesis,easy,0,0,0
01030000000045,false_positive,-0.1103,100.0,has_table_yuksek,True,True,False,NONE,benchmark_page,,1,0,0
01030000000046,false_positive,-0.10813,92.0,has_table_yuksek,True,True,False,NONE,benchmark_page,,1,0,0
01030000000047,false_positive,-0.050531,90.0,has_table_yuksek,True,True,False,NONE,benchmark_page,,1,0,0
01030000000051,false_positive,0.000742,96.1,has_table_yuksek,True,True,False,NONE,benchmark_page,,1,0,0
01030000000005,false_positive,-0.019527,72.8,low_quality,False,True,False,TWO_COLUMN_CROSS_JUMP,benchmark_page,,0,2,0
01030000000052,false_positive,-0.010359,100.0,has_table_yuksek,True,True,False,NONE,benchmark_page,,1,0,0
01030000000064,false_positive,-0.064193,99.1,has_table_yuksek,True,True,False,NONE,benchmark_page,,1,0,0
01030000000008,false_positive,-0.052894,50.0,low_quality,False,True,False,TWO_COLUMN_CROSS_JUMP,benchmark_page,,0,1,0
01030000000078,false_positive,-0.108593,89.3,has_table_yuksek,True,True,False,NONE,benchmark_page,,1,1,0
01030000000009,false_negative,0.182004,88.0,,False,True,False,NONE,benchmark_page,,0,1,0
01030000000081,false_positive,-0.117746,100.0,has_table_yuksek,True,True,False,NONE,benchmark_page,,2,0,0
01030000000010,false_positive,-0.050543,53.3,low_quality,False,True,False,TWO_COLUMN_CROSS_JUMP,benchmark_page,,0,1,0
01030000000082,false_positive,-0.097626,95.0,has_table_yuksek,True,True,False,NONE,benchmark_page,,2,0,0
01030000000011,false_positive,-0.030936,63.6,low_quality,False,True,False,TWO_COLUMN_CROSS_JUMP,benchmark_page,,0,1,0
01030000000083,false_positive,-0.148707,85.0,has_table_yuksek,True,True,False,NONE,benchmark_page,,3,0,0
01030000000012,false_positive,-0.045749,52.1,low_quality,False,True,False,TWO_COLUMN_CROSS_JUMP,benchmark_page,,0,2,0
01030000000084,false_positive,-0.160357,100.0,has_table_yuksek,True,True,False,NONE,benchmark_page,,2,0,0
01030000000013,false_positive,-0.019356,74.9,low_quality,False,True,False,NONE,benchmark_page,,0,2,0
01030000000088,false_positive,-0.134696,100.0,has_table_yuksek,True,True,False,NONE,benchmark_page,,1,0,0
01030000000014,false_positive,-0.028089,48.2,low_quality,False,True,False,TWO_COLUMN_CROSS_JUMP,benchmark_page,,0,2,0
01030000000089,false_positive,-0.112866,100.0,has_table_yuksek,True,True,False,NONE,benchmark_page,,1,0,0
01030000000015,false_positive,0.012885,62.6,low_quality,False,True,False,TWO_COLUMN_CROSS_JUMP,benchmark_page,,0,1,0
01030000000090,false_positive,-0.140034,96.8,has_table_yuksek,True,True,False,NONE,benchmark_page,,1,0,0
01030000000016,false_negative,0.03799,77.0,,False,False,False,TWO_COLUMN_CROSS_JUMP,benchmark_page,,0,0,0
01030000000116,false_positive,-0.064282,83.9,has_table_yuksek,True,True,False,NONE,benchmark_page,,2,1,0
01030000000117,false_positive,-0.060903,92.5,has_table_dusuk,True,False,False,NONE,benchmark_page,,1,0,0
01030000000119,false_positive,-0.063783,99.4,has_table_yuksek,True,True,False,NONE,benchmark_page,,1,0,0
01030000000120,false_positive,-0.104664,96.4,has_table_dusuk,True,True,False,NONE,benchmark_page,,1,0,0
01030000000121,false_positive,-0.083034,86.0,has_table_dusuk,True,True,False,NONE,benchmark_page,,1,0,0
01030000000022,false_positive,0.002675,72.8,low_quality,False,False,False,TWO_COLUMN_CROSS_JUMP,benchmark_page,,0,0,0
01030000000122,false_negative,0.050948,89.2,,False,True,False,NONE,benchmark_page,,1,0,0
01030000000127,false_positive,-0.0321,85.0,has_table_yuksek,True,False,False,NONE,benchmark_page,,3,0,0
01030000000128,false_positive,-0.06944,95.8,has_table_yuksek,True,True,False,NONE,benchmark_page,,1,1,0
01030000000130,false_positive,-0.014162,72.8,"has_table_yuksek,low_quality",True,True,False,TWO_COLUMN_CROSS_JUMP,benchmark_page,,1,1,1
